iter	Passed	Remaining
655	1076	564
656	1077	562
657	1078	560
658	1079	558
659	1080	556
660	1081	554
661	1082	552
662	1083	550
663	1084	548
664	1085	546
665	1086	544
666	1087	543
667	1088	541
668	1089	539
669	1090	537
670	1091	535
671	1092	533
672	1093	531
673	1094	529
674	1095	527
675	1096	525
676	1097	523
677	1098	521
678	1099	519
679	1100	517
680	1101	515
681	1102	514
682	1103	512
683	1104	510
684	1105	508
685	1105	506
686	1106	504
687	1107	502
688	1108	500
689	1109	498
690	1110	496
691	1111	494
692	1111	492
693	1112	490
694	1114	488
695	1115	487
696	1115	485
697	1116	483
698	1117	481
699	1118	479
700	1119	477
701	1120	475
702	1121	473
703	1121	471
704	1122	469
705	1123	467
706	1124	465
707	1124	463
708	1125	462
709	1127	460
710	1128	458
711	1129	456
712	1129	454
713	1130	452
714	1131	451
715	1132	449
716	1133	447
717	1133	445
718	1134	443
719	1135	441
720	1136	439
721	1137	437
722	1138	436
723	1139	434
724	1140	432
725	1141	430
726	1142	428
727	1143	427
728	1143	425
729	1144	423
730	1145	421
731	1146	419
732	1147	417
733	1148	416
734	1148	414
735	1149	412
736	1150	410
737	1151	408
738	1152	407
739	1153	405
740	1154	403
741	1155	401
742	1156	399
743	1157	398
744	1158	396
745	1158	394
746	1159	392
747	1160	390
748	1161	389
749	1162	387
750	1163	385
751	1163	383
752	1164	382
753	1165	380
754	1166	378
755	1167	376
756	1168	375
757	1169	373
758	1170	371
759	1171	369
760	1172	368
761	1173	366
762	1173	364
763	1174	362
764	1175	361
765	1176	359
766	1177	357
767	1178	355
768	1179	354
769	1180	352
770	1181	350
771	1182	349
772	1183	347
773	1183	345
774	1184	343
775	1185	342
776	1186	340
777	1187	338
778	1187	337
779	1188	335
780	1189	333
781	1190	331
782	1191	330
783	1192	328
784	1193	326
785	1194	325
786	1195	323
787	1196	321
788	1196	320
789	1197	318
790	1198	316
791	1199	315
792	1200	313
793	1201	311
794	1201	309
795	1202	308
796	1203	306
797	1204	304
798	1205	303
799	1207	301
800	1208	300
801	1208	298
802	1209	296
803	1210	295
804	1211	293
805	1212	291
806	1213	290
807	1214	288
808	1215	286
809	1216	285
810	1217	283
811	1217	281
812	1218	280
813	1220	278
814	1220	277
815	1221	275
816	1222	273
817	1223	272
818	1224	270
819	1225	268
820	1225	267
821	1226	265
822	1227	263
823	1228	262
824	1229	260
825	1230	259
826	1230	257
827	1232	255
828	1233	254
829	1233	252
830	1234	251
831	1235	249
832	1236	247
833	1237	246
834	1238	244
835	1238	243
836	1239	241
837	1240	239
838	1241	238
839	1242	236
840	1243	235
841	1244	233
842	1245	231
843	1246	230
844	1247	228
845	1248	227
846	1249	225
847	1250	224
848	1251	222
849	1252	220
850	1252	219
851	1253	217
852	1254	216
853	1255	214
854	1256	213
855	1257	211
856	1258	209
857	1259	208
858	1260	206
859	1261	205
860	1262	203
861	1262	202
862	1263	200
863	1264	199
864	1265	197
865	1266	195
866	1267	194
867	1267	192
868	1268	191
869	1269	189
870	1270	188
871	1271	186
872	1272	185
873	1273	183
874	1274	182
875	1275	180
876	1276	178
877	1276	177
878	1277	175
879	1278	174
880	1279	172
881	1280	171
882	1281	169
883	1282	168
884	1282	166
885	1283	165
886	1285	163
887	1286	162
888	1287	160
889	1288	159
890	1288	157
891	1289	156
892	1290	154
893	1291	153
894	1292	151
895	1293	150
896	1294	148
897	1294	147
898	1295	145
899	1296	144
900	1297	142
901	1298	141
902	1299	139
903	1300	138
904	1301	136
905	1302	135
906	1303	133
907	1304	132
908	1305	130
909	1305	129
910	1306	127
911	1307	126
912	1308	124
913	1309	123
914	1310	121
915	1311	120
916	1312	118
917	1313	117
918	1314	115
919	1314	114
920	1315	112
921	1316	111
922	1317	109
923	1318	108
924	1319	106
925	1320	105
926	1320	104
927	1321	102
928	1322	101
929	1323	99
930	1324	98
931	1325	96
932	1326	95
933	1327	93
934	1328	92
935	1328	90
936	1329	89
937	1330	87
938	1331	86
939	1332	85
940	1333	83
941	1334	82
942	1335	80
943	1336	79
944	1338	77
945	1339	76
946	1340	75
947	1341	73
948	1342	72
949	1343	70
950	1344	69
951	1344	67
952	1345	66
953	1346	64
954	1347	63
955	1348	62
956	1349	60
957	1351	59
958	1352	57
959	1352	56
960	1353	54
961	1354	53
962	1355	52
963	1356	50
964	1357	49
965	1357	47
966	1358	46
967	1359	44
968	1360	43
969	1361	42
970	1361	40
971	1363	39
972	1364	37
973	1365	36
974	1366	35
975	1367	33
976	1368	32
977	1368	30
978	1369	29
979	1370	27
980	1371	26
981	1372	25
982	1373	23
983	1374	22
984	1374	20
985	1375	19
986	1377	18
987	1378	16
988	1379	15
989	1379	13
990	1380	12
991	1381	11
992	1382	9
993	1383	8
994	1384	6
995	1384	5
996	1385	4
997	1386	2
998	1387	1
999	1388	0
